Name,Link,Topic,Solution
Mutant Flatworld Explorers,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=54,graphtraversal,118.cpp
Theseus and the Minotaur,https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=104,graphtraversal,168.py
Vertex,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=216,graphtraversal,280.py
Oil Deposits,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=513,graphtraversal,572.cpp
Driving Range,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2957,mst,11857Prim.cpp
Mapping the Route,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=555,graphtraversal,614.cpp
Coast Tracker,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=765,graphtraversal,824.py
Re-connecting Computer Sites,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=849,mst,908Kruskal.cpp
